Gene,P.Value,Log FC
EPHA2,3.54e-01,-1.81e-01
CXXC1P1,2.37e-01,-9.39e-02
PAQR8,2.79e-01,-2.66e-01
KLHL32,8.93e-01,-4.29e-02
LOC100132207,3.08e-01,9.48e-02
TM4SF18,5.41e-01,1.28e-01
TRIM33,2.49e-01,-1.56e-01
LIPN,2.67e-01,1.69e-01
LOC286184,2.66e-01,-9.05e-02
SCN5A,2.50e-01,-1.33e-01
LOC643650,4.57e-01,-1.74e-01
THOC3,8.92e-01,2.40e-02
ARHGAP40,2.77e-01,-9.05e-02
TBCE,4.81e-01,9.89e-02
MSX2P1,6.56e-01,5.09e-02
LOC283788,2.32e-01,-1.15e-01
ALB,1.00,2.66e-15
ZNF43,2.25e-01,-7.37e-02
CECR7,3.14e-01,-2.49e-01
CCDC14,3.41e-01,1.78e-01
H2AFZ,7.99e-01,8.07e-02
TXNDC16,2.78e-01,-2.02e-01
TRAF2,3.52e-01,-9.43e-02
POLDIP3,2.42e-01,1.61e-01
ZFAND4,4.25e-01,1.47e-01
CEP55,2.39e-01,1.28e-01
IRS1,6.43e-01,-8.91e-02
CCDC87,2.24e-01,7.63e-02
NAT8,8.88e-01,-2.27e-02
NUP133,8.53e-01,-3.60e-02
FAM115C,2.79e-01,1.21e-01
SPRED1,3.09e-01,1.59e-01
LOC344887,2.78e-01,1.23e-01
C3orf30,3.02e-01,-9.35e-02
C13orf27,3.61e-01,1.20e-01
UBR1,3.84e-01,1.24e-01
TAS2R38,2.45e-01,-9.29e-02
TTC30B,5.23e-01,1.26e-01
TAS2R3,2.38e-01,1.03e-01
FAM83B,2.80e-01,-1.78e-01
C2orf55,2.30e-01,1.16e-01
PTGER1,2.32e-01,1.21e-01
MYEOV2,2.56e-01,-2.03e-01
AMIGO3,2.36e-01,-1.03e-01
LOC648044,4.26e-01,-2.02e-01
SLC9A3,2.54e-01,-1.82e-01
HSCB,4.22e-01,-7.72e-02
EFR3B,4.70e-01,-9.11e-02
TFAP2D,3.15e-01,-7.34e-02
PROM1,4.18e-01,8.63e-02
TULP1,3.96e-01,-1.24e-01
ARID4B,3.71e-01,8.60e-02
EPB41L2,4.20e-01,2.31e-01
TBRG4,2.43e-01,-1.25e-01
PRB1,2.32e-01,-9.76e-02
CD200,9.19e-01,3.01e-02
RGL2,4.79e-01,1.47e-01
SDAD1,2.56e-01,-2.04e-01
CCBE1,4.35e-01,-1.58e-01
BAG4,3.47e-01,1.11e-01
KIAA1751,3.28e-01,-1.52e-01
CHMP3,5.59e-01,1.09e-01
IRAK4,2.45e-01,1.39e-01
CCDC64,2.54e-01,-1.17e-01
PXMP4,2.65e-01,-1.61e-01
CNOT8,4.82e-01,-1.47e-01
LOC100130428,6.99e-01,6.09e-02
TIMM10,3.72e-01,-2.58e-01
C19orf29-AS1,3.40e-01,1.68e-01
CCND3,6.00e-01,-7.67e-02
CSF2,2.52e-01,-9.91e-02
TBR1,2.78e-01,-2.47e-01
CDH5,2.28e-01,9.88e-02
FLJ43315,3.53e-01,1.51e-01
IFT140,3.09e-01,1.47e-01
WHAMMP3,2.38e-01,-8.15e-02
SESN2,4.44e-01,1.63e-01
FAM3C,9.38e-01,2.71e-02
TRPM8,3.79e-01,1.56e-01
FRA10AC1,3.09e-01,1.67e-01
LOC100127940,2.25e-01,7.27e-02
PTGR1,2.54e-01,1.37e-01
ZYX,6.34e-01,-1.07e-01
ARHGEF9,6.02e-01,1.24e-01
GPR37,2.25e-01,-9.12e-02
ZFP112,2.73e-01,1.38e-01
GFPT1,4.15e-01,-9.21e-02
NTRK2,5.86e-01,1.72e-01
GPR146,5.93e-01,1.05e-01
ZC3H11A,7.64e-01,5.65e-02
LACRT,2.60e-01,-1.20e-01
LRRC71,2.84e-01,-1.77e-01
THEM4,3.48e-01,2.05e-01
LOC100130856,6.65e-01,-9.56e-02
MFSD9,7.33e-01,4.97e-02
PRELID1,4.60e-01,9.20e-02
ISOC1,3.16e-01,-1.76e-01
ZNF626,3.87e-01,1.36e-01
C7orf50,4.72e-01,1.52e-01
KRT15,2.91e-01,1.07e-01
DNAJC16,3.01e-01,-1.00e-01
OR1C1,2.31e-01,-6.21e-02
LOC643327,3.03e-01,-9.14e-02
NUDT18,3.70e-01,-1.75e-01
ZNF385D,6.52e-01,-1.07e-01
CD164L2,2.47e-01,-1.20e-01
DKK4,2.50e-01,-1.59e-01
TBCA,3.44e-01,-1.39e-01
PPIH,2.60e-01,-1.07e-01
RBKS,7.50e-01,-5.73e-02
MON1B,3.08e-01,2.43e-01
FGF22,2.25e-01,-7.66e-02
MGC21881,9.67e-01,-7.27e-03
DNAH12,2.95e-01,1.32e-01
SLC6A3,2.32e-01,1.18e-01
FANCA,2.72e-01,-1.51e-01
DIP2C,4.82e-01,1.50e-01
LOC100130264,2.64e-01,-1.59e-01
NEDD9,5.42e-01,-1.59e-01
GTF2F2,2.80e-01,-1.76e-01
TSHR,2.90e-01,-7.64e-02
SORCS3,4.55e-01,1.35e-01
RSPH9,2.96e-01,9.38e-02
MAPK11,3.40e-01,-1.81e-01
KLRC1,4.41e-01,1.76e-01
SPATA2L,5.20e-01,-1.67e-01
PEAR1,3.42e-01,-9.73e-02
CERK,6.58e-01,-7.51e-02
KIAA0090,2.67e-01,1.14e-01
VAMP4,2.44e-01,-1.18e-01
TRPM4,5.86e-01,-6.39e-02
TERF1,2.38e-01,-1.27e-01
MST1P9,2.85e-01,-7.90e-02
CYP4F30P,2.38e-01,-7.38e-02
EIF4G3,5.66e-01,-1.03e-01
TUBA1B,4.46e-01,-1.75e-01
L3MBTL4,6.14e-01,8.17e-02
FANCE,4.01e-01,-9.15e-02
GLOD4,3.38e-01,1.28e-01
CERKL,4.48e-01,7.50e-02
CYP1A1,5.27e-01,-1.45e-01
TWF2,4.53e-01,1.09e-01
NPAS1,3.33e-01,-2.53e-01
DHRS4,3.59e-01,-1.38e-01
MGC2752,3.40e-01,-2.24e-01
RFX5,2.69e-01,1.55e-01
RPL21,7.28e-01,-7.26e-02
TAF4B,3.98e-01,-1.24e-01
UBP1,6.95e-01,6.97e-02
TAPBPL,2.47e-01,-1.10e-01
SSX7,2.35e-01,-9.64e-02
COPS8,5.20e-01,-1.79e-01
C8orf38,3.33e-01,-2.34e-01
LARP4,2.42e-01,1.42e-01
GRIA2,6.38e-01,-1.63e-01
C1orf198,5.48e-01,-1.32e-01
UBE2O,4.52e-01,-1.56e-01
MRPS27,2.58e-01,-1.84e-01
DDX10,2.43e-01,1.39e-01
AK5,2.43e-01,-1.28e-01
OR8G5,2.27e-01,-7.95e-02
GPX2,5.60e-01,-7.41e-02
LOC401176,2.44e-01,-7.86e-02
PTGFR,2.68e-01,-7.83e-02
SPOCK2,2.46e-01,-1.23e-01
CCNJL,9.46e-01,-9.18e-03
ACOXL,2.30e-01,9.46e-02
C1orf186,3.57e-01,-1.43e-01
UTY,4.56e-01,3.29e-01
BCL9,2.82e-01,1.42e-01
KIR2DS4,2.97e-01,-1.84e-01
PLCH2,2.65e-01,1.26e-01
C9orf150,5.14e-01,-1.73e-01
ZIC3,4.59e-01,-1.05e-01
SETBP1,9.86e-01,3.67e-03
LOC100131831,2.46e-01,-8.70e-02
OR10V1,2.59e-01,-9.10e-02
TMEM229B,5.64e-01,1.15e-01
SARS,4.61e-01,-1.40e-01
GTF2IRD2,7.26e-01,7.20e-02
CXCR2,3.26e-01,1.63e-01
SHC3,5.06e-01,-4.38e-01
SLC11A2,5.94e-01,-1.10e-01
IAH1,2.57e-01,1.39e-01
CCDC112,3.23e-01,1.32e-01
HIST1H2BH,6.24e-01,1.65e-01
SIT1,5.18e-01,7.59e-02
PCDHA5,3.02e-01,-1.45e-01
LOC100652805,3.18e-01,-1.63e-01
FAM71A,2.27e-01,-7.79e-02
MARS,3.77e-01,1.66e-01
MAVS,3.25e-01,1.77e-01
EHD3,6.88e-01,-1.53e-01
SLC28A1,5.36e-01,-9.11e-02
OR5M1,2.67e-01,-7.98e-02
KBTBD4,3.34e-01,-1.34e-01
KLHL34,2.82e-01,1.49e-01
HLA-DOA,2.32e-01,7.56e-02
ST8SIA6,3.08e-01,9.75e-02
UBXN11,3.00e-01,-1.96e-01
LOC100126784,3.51e-01,9.91e-02
MMS22L,4.49e-01,1.28e-01
TM9SF2,6.35e-01,-1.01e-01
DISC1,3.25e-01,1.02e-01
ATF4,4.36e-01,2.32e-01
C10orf92,2.37e-01,-1.01e-01
CEMP1,2.45e-01,-1.19e-01
REPS1,7.40e-01,-5.47e-02
RBM8A,3.23e-01,1.21e-01
P2RX3,2.31e-01,-1.05e-01
PPT2,5.26e-01,-8.21e-02
SMC2,2.70e-01,-2.22e-01
MRFAP1L1,2.79e-01,-2.02e-01
OR2D2,2.81e-01,-1.89e-01
ZHX1-C8ORF76,3.29e-01,-2.16e-01
ARL9,4.39e-01,-1.32e-01
BEND6,6.48e-01,-1.20e-01
SRP72,3.22e-01,9.65e-02
UBE2Q2,2.45e-01,1.22e-01
GLT25D1,3.04e-01,1.07e-01
LOC254057,2.68e-01,2.05e-01
NCOA1,3.72e-01,7.60e-02
EXOC8,2.63e-01,1.01e-01
MXRA5,2.98e-01,-9.79e-02
PPM1A,4.98e-01,7.15e-02
OBSCN,3.13e-01,-2.17e-01
UQCRB,3.37e-01,-1.45e-01
HSPA9,4.01e-01,1.45e-01
TCEAL4,2.75e-01,-1.51e-01
MCCD1,2.39e-01,-1.19e-01
GRIN2A,2.64e-01,-8.23e-02
ABCB5,2.73e-01,-9.90e-02
LOC100129171,2.35e-01,9.29e-02
SH3GLB1,2.71e-01,2.09e-01
RAB3IL1,2.49e-01,1.32e-01
HIST1H2BO,6.72e-01,1.39e-01
TPTE2,3.22e-01,-8.83e-02
BTF3P11,3.83e-01,1.27e-01
PRKAR2B,8.36e-01,-7.80e-02
PYHIN1,2.40e-01,-1.06e-01
HRH1,3.59e-01,1.80e-01
ZNF749,2.65e-01,8.00e-02
TTTY15,6.56e-01,1.35e-01
CCDC18,2.31e-01,1.01e-01
RPS10,5.97e-01,9.18e-02
RAB2B,4.32e-01,1.17e-01
RFX8,2.35e-01,1.03e-01
LCE1A,3.72e-01,1.11e-01
CHRNB4,2.93e-01,-1.43e-01
TAS1R3,4.04e-01,1.41e-01
LEPROTL1,4.12e-01,9.82e-02
CPLX4,2.83e-01,-8.23e-02
CD5,8.50e-01,-3.03e-02
RWDD1,2.53e-01,1.54e-01
GRRP1,4.95e-01,-1.31e-01
MIR143HG,2.40e-01,-1.26e-01
ATE1,5.10e-01,-9.18e-02
ZBTB11,3.45e-01,-1.32e-01
CALCA,4.22e-01,8.60e-02
CDA,4.33e-01,1.32e-01
AKT3,9.00e-01,-3.89e-02
GPR113,2.38e-01,-9.21e-02
ZNF326,2.62e-01,-1.80e-01
RANGRF,4.48e-01,1.22e-01
PIGK,2.57e-01,-1.15e-01
LOC100130345,2.62e-01,-8.54e-02
USP35,4.23e-01,1.50e-01
ABAT,3.00e-01,-1.10e-01
ROM1,6.49e-01,9.76e-02
BRF2,2.66e-01,-2.07e-01
SMCR2,2.82e-01,-1.18e-01
MGC45922,3.76e-01,-1.35e-01
MXD4,4.13e-01,1.93e-01
ND4L,6.80e-01,1.27e-01
MPV17L,2.48e-01,-1.53e-01
CRYGS,2.47e-01,1.45e-01
LOC401098,2.49e-01,-9.94e-02
ZIC2,7.12e-01,-4.52e-02
LOC100129884,2.98e-01,8.00e-02
SLC22A24,2.34e-01,7.45e-02
MYL4,2.31e-01,-7.97e-02
TMEM120B,4.84e-01,-1.18e-01
PAR5,2.39e-01,1.24e-01
09/07,9.12e-01,1.87e-02
LACE1,2.61e-01,1.06e-01
LOC145845,2.56e-01,-7.40e-02
C19orf75,2.40e-01,9.85e-02
SNCA,5.82e-01,-1.95e-01
CLCA4,5.55e-01,2.20e-01
TCF7L2,3.32e-01,8.27e-02
LOC100240735,3.24e-01,2.48e-01
CMC1,5.57e-01,-1.00e-01
WDR87,2.70e-01,-9.36e-02
SAGE1,2.34e-01,-8.43e-02
RNF40,3.74e-01,-1.07e-01
LOC100130111,3.24e-01,1.66e-01
FGFR3,7.69e-01,8.97e-02
C1orf126,2.30e-01,-6.63e-02
PTGFR,4.56e-01,-1.05e-01
TPTE2P3,2.79e-01,-8.98e-02
PDZD9,2.43e-01,-8.85e-02
LAMC3,4.66e-01,-1.27e-01
LYZL6,2.65e-01,-1.04e-01
SRPK1,8.57e-01,-2.93e-02
BRWD1,5.67e-01,-1.91e-01
FAM83H,2.52e-01,-1.55e-01
FAM65A,5.97e-01,-1.02e-01
CTCF,2.43e-01,1.26e-01
ZADH2,4.30e-01,-1.40e-01
KCNH6,4.08e-01,-1.32e-01
SCARB1,5.10e-01,1.61e-01
LOC441495,5.16e-01,-7.95e-02
CCNT2,2.69e-01,1.12e-01
ATF3,2.31e-01,8.59e-02
CDCA7L,7.74e-01,4.51e-02
LOC100132197,2.86e-01,-1.16e-01
MSC,2.39e-01,-8.24e-02
UNQ6975,2.31e-01,-8.06e-02
LOC644450,7.33e-01,-1.34e-01
SEC14L4,7.20e-01,4.56e-02
CCDC148,2.92e-01,-1.42e-01
PPFIA2,4.71e-01,-1.26e-01
SLC22A10,4.29e-01,-7.09e-02
TNFSF18,2.30e-01,-7.46e-02
LOC100132396,2.44e-01,-7.48e-02
UNC50,6.07e-01,-1.10e-01
VENTXP7,2.55e-01,1.44e-01
UNC5C,2.75e-01,-2.26e-01
IQCE,3.52e-01,-8.72e-02
MEX3D,3.84e-01,-1.18e-01
LOC442366,2.39e-01,9.13e-02
LOC389906,3.07e-01,-1.96e-01
PLEKHG1,3.05e-01,1.39e-01
LOC728431,2.48e-01,1.41e-01
B3GNT7,2.42e-01,1.16e-01
TMSB15B,4.08e-01,1.07e-01
DBC1,2.38e-01,-6.16e-02
RPH3AL,6.47e-01,6.60e-02
CCDC88B,9.43e-01,-1.16e-02
TK1,8.01e-01,-4.88e-02
TCFL5,4.36e-01,-3.72e-01
KIAA1009,2.92e-01,-1.48e-01
ZNF273,2.47e-01,1.33e-01
PRSS36,6.04e-01,1.52e-01
OR52D1,2.56e-01,-1.17e-01
FBXL7,3.94e-01,1.41e-01
POU5F1,3.64e-01,2.66e-01
ACP1,4.10e-01,8.93e-02
PRPF3,3.24e-01,-1.40e-01
C8orf60,5.84e-01,-1.60e-01
SLC35A5,9.48e-01,-1.47e-02
HFE,3.28e-01,1.05e-01
MRPL11,3.30e-01,1.53e-01
PPP1R16A,8.17e-01,4.61e-02
MFSD2A,2.97e-01,1.87e-01
RBMY1B,2.34e-01,-6.51e-02
LSR,5.08e-01,8.18e-02
GINS4,5.64e-01,-1.26e-01
GLYATL3,2.75e-01,-9.58e-02
YY2,2.86e-01,-1.62e-01
GUCY2F,2.90e-01,7.01e-02
LOC646851,2.56e-01,1.13e-01
KLHL23,3.65e-01,-1.26e-01
ZNF806,2.56e-01,1.19e-01
PDXK,9.78e-01,8.91e-03
NDUFC2,6.25e-01,-1.51e-01
FGD5,6.89e-01,-1.22e-01
LGR6,9.72e-01,4.77e-03
LOC284950,2.61e-01,-1.01e-01
CLNK,2.67e-01,7.31e-02
PCMTD1,3.45e-01,-1.14e-01
ZNF608,9.94e-01,1.70e-03
LOC283475,3.68e-01,-9.01e-02
PURA,3.91e-01,1.08e-01
ABL2,2.49e-01,-1.38e-01
DDX10,6.85e-01,6.16e-02
SLC25A29,3.38e-01,-3.33e-01
SLC25A34,5.88e-01,-8.91e-02
MOGAT3,2.46e-01,8.97e-02
RPS21,5.89e-01,1.02e-01
CDRT15,2.50e-01,-1.43e-01
LOC285857,2.33e-01,-8.16e-02
NUDT12,3.83e-01,-1.66e-01
GJC3,3.81e-01,7.79e-02
C14orf132,9.55e-01,1.59e-02
PCDHB10,5.16e-01,1.11e-01
MAP9,9.55e-01,-1.69e-02
ATP5J2,4.92e-01,-1.83e-01
CCT3,4.48e-01,1.19e-01
C18orf34,3.32e-01,-9.06e-02
LIMD1,3.85e-01,-1.37e-01
LOC100128437,2.59e-01,1.04e-01
MAP9,4.17e-01,1.19e-01
HCAR1,2.43e-01,-7.42e-02
SPATA8,2.47e-01,-7.59e-02
LOC154449,2.53e-01,-7.90e-02
MFGE8,7.71e-01,-6.29e-02
L3MBTL4,7.21e-01,5.39e-02
C10orf68,2.37e-01,-9.05e-02
PIGQ,3.06e-01,-7.46e-02
ZNF16,2.73e-01,7.92e-02
SLC10A7,3.80e-01,1.10e-01
AKAP1,2.73e-01,1.93e-01
FOXI3,2.54e-01,-1.04e-01
BARX2,2.38e-01,-8.00e-02
ACCN5,2.71e-01,-7.83e-02
GRIK5,3.31e-01,-1.03e-01
LOC100506898,2.64e-01,7.65e-02
SNX18,6.42e-01,9.99e-02
ARVCF,3.27e-01,-1.62e-01
PDLIM1,7.41e-01,-4.68e-02
TMEM19,2.77e-01,1.07e-01
OCLN,6.63e-01,-1.30e-01
CDH22,2.90e-01,-1.46e-01
TMEM214,3.60e-01,1.18e-01
ENTHD1,3.63e-01,-1.76e-01
MLF2,7.28e-01,-5.27e-02
CRYAB,8.66e-01,5.23e-02
GGPS1,3.48e-01,1.06e-01
ELL2,3.11e-01,-2.42e-01
GHITM,8.60e-01,-4.38e-02
CHST5,2.37e-01,-9.00e-02
KIR2DL5A,2.48e-01,-6.51e-02
TSTD2,5.06e-01,8.09e-02
CFHR5,4.19e-01,6.82e-02
FMO5,6.04e-01,-9.98e-02
TSEN15,3.88e-01,-1.50e-01
KSR2,2.62e-01,-8.73e-02
RNF139,2.81e-01,-1.46e-01
CASC4,2.90e-01,-1.90e-01
SNRPA,4.40e-01,9.66e-02
MMP15,4.41e-01,7.19e-02
GLT8D2,3.54e-01,-1.13e-01
LOC100128063,2.73e-01,7.69e-02
KBTBD13,4.97e-01,9.27e-02
PCDHGA8,3.46e-01,-1.39e-01
LOC285419,2.62e-01,7.04e-02
FAM75D3,3.19e-01,-1.13e-01
LOC100286979,4.02e-01,-7.58e-02
COX17,2.95e-01,1.16e-01
SLMO2,3.49e-01,1.81e-01
PBX4,9.85e-01,-3.20e-03
CSRNP1,8.16e-01,-6.08e-02
ASTN2,3.01e-01,1.05e-01
ARL6IP5,3.96e-01,-1.35e-01
CDK5RAP2,6.58e-01,-8.34e-02
EPHA7,6.67e-01,-7.34e-02
SLC10A7,2.43e-01,9.44e-02
PCID2,7.09e-01,6.20e-02
BYSL,4.19e-01,-9.59e-02
GPM6B,5.74e-01,1.38e-01
KDM2B,2.82e-01,-1.07e-01
NOX5,3.77e-01,-1.92e-01
EFNA4,2.84e-01,2.22e-01
LOC642947,3.28e-01,-2.44e-01
LINC00341,8.97e-01,3.30e-02
HTR7P1,5.58e-01,-1.29e-01
ENHO,4.71e-01,-1.79e-01
LRRC52,2.49e-01,-1.09e-01
LPAR3,2.42e-01,-9.27e-02
FGF1,2.74e-01,8.55e-02
GSTO2,2.82e-01,-2.06e-01
IDS,5.24e-01,-1.54e-01
NPFFR1,2.40e-01,-6.64e-02
PTP4A3,7.43e-01,5.51e-02
TMEM220,3.41e-01,6.77e-02
LOC96610,2.45e-01,-1.00e-01
DEDD2,9.05e-01,2.15e-02
ETHE1,2.70e-01,1.45e-01
FCRLA,8.49e-01,2.98e-02
RAB43P1,2.68e-01,-1.73e-01
FRS3,2.69e-01,-1.83e-01
MRPL14,5.12e-01,8.80e-02
C20orf54,4.08e-01,9.77e-02
RPL5,8.13e-01,4.70e-02
PRICKLE3,3.55e-01,-9.18e-02
SSTR4,3.32e-01,-2.33e-01
FOXG1,3.27e-01,3.09e-01
KLK10,2.64e-01,9.54e-02
GJB5,2.41e-01,-8.47e-02
SLAIN1,5.90e-01,-1.04e-01
LOC100132247,2.86e-01,-2.37e-01
LOC116437,2.49e-01,-7.17e-02
MLLT4,4.58e-01,9.89e-02
LOC283911,2.70e-01,-2.00e-01
LMO7,2.47e-01,7.44e-02
DIABLO,3.56e-01,-1.72e-01
TTYH3,6.95e-01,-7.02e-02
CHCHD4,4.11e-01,-1.38e-01
NRSN1,2.44e-01,-7.89e-02
BHLHA15,2.41e-01,-9.30e-02
C8orf37,2.69e-01,1.90e-01
LOC440600,2.60e-01,-1.55e-01
LOC285375,2.41e-01,-8.43e-02
DMD,6.44e-01,6.61e-02
DOCK9,4.45e-01,-2.25e-01
ST7-OT4,3.45e-01,8.13e-02
ELOVL5,3.59e-01,-1.42e-01
ZNF346,2.80e-01,-2.16e-01
NDUFC2,8.25e-01,3.71e-02
GML,2.70e-01,7.20e-02
LOC100129961,2.87e-01,-2.14e-01
ANK1,4.65e-01,-8.69e-02
EPHA10,2.64e-01,-7.63e-02
FCER2,2.85e-01,-9.12e-02
CD8B,3.13e-01,-2.34e-01
OBSCN,9.36e-01,9.52e-03
ARL3,8.73e-01,-4.17e-02
SYT6,2.49e-01,1.06e-01
ND4,2.97e-01,2.44e-01
FAM190B,3.67e-01,-1.08e-01
ENPP7,2.46e-01,-7.54e-02
ZNF517,2.47e-01,-8.85e-02
UMODL1,2.67e-01,9.69e-02
OOSP1,2.70e-01,-7.50e-02
HIST1H4D,4.68e-01,2.04e-01
NACC2,4.04e-01,-2.77e-01
C16orf90,2.60e-01,8.54e-02
MYO3B,3.41e-01,-8.16e-02
C11orf70,2.74e-01,1.64e-01
GLYAT,6.40e-01,-4.53e-02
PHLPP2,2.63e-01,1.33e-01
ARVCF,4.47e-01,-9.23e-02
FRG1,2.95e-01,-2.16e-01
SCCPDH,3.22e-01,-2.50e-01
KCNH2,3.40e-01,-1.09e-01
LEKR1,2.55e-01,1.04e-01
CLDN10,2.98e-01,-1.02e-01
HYAL2,7.74e-01,7.04e-02
PRDM13,2.43e-01,-1.02e-01
FAM117B,7.09e-01,-7.14e-02
COPS8,6.11e-01,-1.09e-01
STXBP5,7.24e-01,-6.04e-02
PHYHIPL,3.10e-01,-1.86e-01
CRYAA,2.69e-01,-7.66e-02
ATL1,3.19e-01,-2.36e-01
TMEM219,2.68e-01,1.56e-01
FLJ13197,4.11e-01,-1.84e-01
C6orf127,2.85e-01,-1.14e-01
LOC284276,3.15e-01,-9.20e-02
LOC283788,3.07e-01,-1.11e-01
TDRD1,2.48e-01,-1.15e-01
SPANXB2,2.69e-01,-1.32e-01
GNAZ,2.67e-01,-1.22e-01
CLDN17,2.51e-01,-8.17e-02
GALNT7,3.73e-01,2.66e-01
LOC100130701,3.27e-01,-1.40e-01
LOC91450,3.31e-01,1.30e-01
ROBO2,3.10e-01,1.50e-01
C17orf85,6.38e-01,7.93e-02
LOC283887,4.75e-01,9.94e-02
RAB19,2.59e-01,-7.71e-02
MMP12,2.53e-01,-8.47e-02
SNORA55,2.44e-01,-9.27e-02
NUDT9,4.68e-01,1.10e-01
LINC00239,3.91e-01,9.17e-02
CNGB1,2.68e-01,1.01e-01
GBP4,4.12e-01,1.69e-01
PYY,2.41e-01,-8.22e-02
SH3GL1P3,3.10e-01,-7.94e-02
AP2A2,9.88e-01,3.37e-03
KIAA1919,2.59e-01,7.94e-02
LAMA5,8.87e-01,-1.93e-02
TSSC4,2.91e-01,1.23e-01
LY9,4.29e-01,-8.06e-02
C1GALT1,7.00e-01,7.48e-02
DNAJA2,4.17e-01,1.34e-01
TMIGD1,2.50e-01,-8.67e-02
FAM46D,3.02e-01,-1.01e-01
TSPAN18,4.56e-01,1.30e-01
FOXA1,5.08e-01,-8.80e-02
FMNL1,3.85e-01,9.72e-02
SNORA12,4.89e-01,-6.65e-02
MAP4K1,4.49e-01,-7.15e-02
PRSS58,3.17e-01,8.01e-02
GPX6,2.51e-01,9.48e-02
KRT8,2.91e-01,-2.30e-01
MXRA7,4.43e-01,-9.33e-02
COQ10B,3.01e-01,-1.28e-01
CYP7B1,5.72e-01,1.93e-01
LOC285965,5.92e-01,6.14e-02
EMID1,4.10e-01,-1.88e-01
EXOC6B,3.31e-01,-1.76e-01
C3orf32,3.61e-01,9.52e-02
ST7L,4.18e-01,1.05e-01
WBSCR28,2.41e-01,-6.83e-02
STX10,3.14e-01,-1.96e-01
ASXL2,2.42e-01,9.65e-02
GIPC2,3.03e-01,-1.42e-01
RNU105A,7.33e-01,8.94e-02
C3orf79,2.54e-01,-1.27e-01
MECOM,3.76e-01,1.88e-01
PCDH9,3.66e-01,-2.56e-01
CCDC12,2.49e-01,1.08e-01
CD40LG,6.26e-01,-6.45e-02
SLC16A6,4.94e-01,1.34e-01
NPIP,2.99e-01,2.45e-01
PRM3,2.94e-01,-1.44e-01
PLA2G10,3.15e-01,-8.75e-02
C6orf25,2.48e-01,8.86e-02
MRPL36,3.40e-01,1.27e-01
HS2ST1,5.11e-01,1.53e-01
TBC1D22A,6.78e-01,6.42e-02
BPIFA3,2.60e-01,-6.81e-02
ATP7A,4.24e-01,1.30e-01
APOL1,7.83e-01,6.50e-02
HTR7,8.27e-01,5.60e-02
SLC35B1,5.39e-01,1.03e-01
LOC100131878,3.40e-01,-7.19e-02
ALOX12P2,3.26e-01,-2.26e-01
ABP1,2.48e-01,-8.70e-02
CRYGN,3.55e-01,8.32e-02
SPANXN3,3.79e-01,-8.66e-02
POLE4,4.49e-01,-1.69e-01
NAF1,3.33e-01,7.89e-02
CCZ1,2.53e-01,-1.02e-01
TIGIT,3.31e-01,7.89e-02
ZNF746,2.56e-01,-1.11e-01
C2orf67,2.67e-01,-1.73e-01
KIAA0922,4.74e-01,-8.94e-02
TMBIM4,2.68e-01,9.10e-02
MAML3,2.73e-01,-1.75e-01
THBS2,9.68e-01,-7.64e-03
MRPL53,2.51e-01,1.08e-01
NSFL1C,3.14e-01,-1.35e-01
OR6Y1,2.70e-01,7.38e-02
OR5A2,2.72e-01,-1.37e-01
TP53INP1,2.89e-01,2.31e-01
INTU,6.05e-01,-1.27e-01
CCDC88C,4.60e-01,-1.41e-01
OR5B3,2.77e-01,-1.11e-01
IL1RN,2.65e-01,7.22e-02
HIST1H2BB,4.04e-01,2.12e-01
HSPE1,4.50e-01,1.33e-01
FLJ42200,5.82e-01,-1.29e-01
HS3ST2,6.12e-01,5.12e-01
LOC642361,4.43e-01,-1.15e-01
PFDN4,4.49e-01,1.29e-01
DIAPH3,3.02e-01,8.74e-02
NTPCR,3.32e-01,-1.48e-01
LMCD1,8.38e-01,-3.46e-02
YLPM1,2.56e-01,-1.35e-01
ATAD2B,3.26e-01,1.82e-01
SPRED3,3.08e-01,-9.81e-02
TCAP,8.38e-01,-6.55e-02
VWCE,7.61e-01,-8.29e-02
SEC14L2,2.85e-01,-1.71e-01
IWS1,7.10e-01,-6.30e-02
USP15,4.83e-01,-1.13e-01
PPM1F,6.81e-01,-9.47e-02
PAQR5,2.75e-01,1.17e-01
PCDH11Y,7.54e-01,-1.29e-01
NEIL3,2.87e-01,-1.70e-01
LOC339240,2.71e-01,-8.11e-02
ITGA10,8.78e-01,3.17e-02
SLAIN1,3.49e-01,-3.44e-01
PMF1-BGLAP,2.63e-01,-1.43e-01
GRHL2,2.54e-01,-1.05e-01
PCBP1,5.93e-01,-8.48e-02
WWOX,3.22e-01,1.20e-01
LINC00272,2.74e-01,-1.89e-01
APOBEC3F,3.16e-01,1.62e-01
GPR17,3.68e-01,-1.83e-01
EGFEM1P,3.07e-01,7.05e-02
MTMR9LP,4.63e-01,-1.59e-01
REEP3,9.57e-01,1.78e-02
KANK3,2.70e-01,-1.25e-01
RPP38,2.85e-01,9.24e-02
POTEE,3.20e-01,-1.82e-01
TPRKB,4.47e-01,8.50e-02
ELK4,4.70e-01,1.22e-01
YEATS4,4.65e-01,-1.13e-01
EIF4E,4.83e-01,-1.19e-01
SLC27A6,7.56e-01,-1.88e-01
ALKBH7,4.04e-01,-1.13e-01
MYO1B,3.77e-01,-9.65e-02
CDK5RAP2,5.88e-01,8.55e-02
C19orf10,8.98e-01,1.77e-02
